id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1078,*UT/Hyde Park Craftsman Apartment,4635658,Tracy,,78705,30.3012311208559,-97.7367356677235,Entire home/apt,85,1,208,2017-07-14,1.64,3,0
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.277500166425117,-97.71397539807082,Entire home/apt,225,2,23,2018-09-16,0.19,3,150
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.275773562681064,-97.71379268080736,Private room,100,2,9,2018-03-14,0.07,3,30
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26111594777699,-97.7344828448813,Entire home/apt,95,2,469,2019-01-20,3.88,1,319
5636,"SO/CO,  BARTON SPRINGS, Bouldin Crk Guest Cottage",7148,Peggy,,78704,30.246303734513557,-97.7636133061396,Entire home/apt,55,30,20,2012-05-24,0.17,2,186
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596396088873,-97.78370172423466,Private room,40,1,238,2018-10-20,2.21,1,73
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.248291034026966,-97.73726197666281,Entire home/apt,99,3,84,2019-02-03,0.75,1,32
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.260273215975467,-97.76502893291755,Entire home/apt,129,3,197,2019-01-22,2.18,2,217
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23615744701723,-97.7368230650541,Entire home/apt,40,3,45,2018-10-09,0.41,1,162
14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.250123005794435,-97.74193344276243,Entire home/apt,260,2,44,2019-01-27,0.61,1,323
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645181834769,-97.82411380406157,Entire home/apt,300,1,25,2018-08-26,0.42,1,363
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.245031458758508,-97.74075434877606,Entire home/apt,550,1,69,2019-01-21,0.94,11,117
21145,"Central, Pet Friendly, Private Pool, Non Smoking",80511,April,,78705,30.294223375007707,-97.74618066924438,Entire home/apt,220,2,31,2018-11-18,0.86,1,77
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.389573310608988,-97.76215610149508,Entire home/apt,155,30,9,2015-07-04,0.08,1,365
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564410896854,-97.73146426884429,Entire home/apt,49,31,34,2018-11-23,0.31,1,281
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.280273477972145,-97.75595562290295,Entire home/apt,95,2,116,2019-01-28,1.07,1,282
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.337655008373932,-97.73725767742877,Entire home/apt,90,30,31,2018-12-22,0.29,1,312
32396,South Austin Comfort,140174,Tiffany,,78749,30.20272666958141,-97.84438945512736,Entire home/apt,55,1,9,2012-10-02,0.09,1,36
37324,furnished bedroom and full bath,161189,Chris,,78727,30.430295826956627,-97.6912491601944,Private room,35,2,28,2019-01-18,0.62,1,206
39152,South Austin Cosmic Groove :~>,167892,Veronica,,78704,30.25671492332934,-97.75412273041539,Entire home/apt,160,3,181,2018-10-15,1.77,3,112
39993,Tiny Tarrytown Apartment,210965,Susan And Anthony,,78703,30.29995524978415,-97.77832323903102,Entire home/apt,59,2,93,2019-02-03,1.56,2,233
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35141434867037,-97.76322811548228,Entire home/apt,350,2,28,2016-11-27,0.29,1,364
46929,Sunny Central Austin Apartment,210965,Susan And Anthony,,78703,30.300381938339047,-97.77885789311448,Entire home/apt,105,2,334,2018-11-24,3.30,2,327
47572,Harmonious Home in  North Austin,215917,Belinda,,78758,30.37641321248438,-97.70925518131334,Private room,52,3,0,,,1,325
50310,Super Hip South Austin Studio,230553,Sevylla,,78744,30.20093205731694,-97.75318020205341,Entire home/apt,40,3,224,2019-02-02,2.21,2,285
50318,Scooby Doo House,12409,Flip,,78705,30.286254470588624,-97.75022346516182,Entire home/apt,100,5,27,2017-04-01,0.27,2,273
50334,Villa in Central Austin for ACL!,230747,Suzanne,,78703,30.282705707992694,-97.75880877995327,Entire home/apt,300,7,3,2015-03-18,0.03,1,365
51100,Walking distance to ACL,235136,Charla,,78703,30.281876396462764,-97.76412825088666,Entire home/apt,500,3,1,2011-04-25,0.01,1,346
51332,"Walk to SXSW, W. Foods, ACL, 6th",235725,Bobby,,78703,30.277919113411635,-97.75488364584608,Entire home/apt,350,5,41,2014-10-13,0.44,1,43
56690,STUDIO IN SOCO.  BEST LOCATION!,268988,Stephanie,,78704,30.24440059917709,-97.75120507133876,Entire home/apt,150,2,149,2019-01-19,1.55,2,73
57187,"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",272156,Lois,,78704,30.25595940145735,-97.76866253158768,Entire home/apt,99,1,529,2019-02-03,5.37,2,347
62279,4-2 1/2 home 10 minutes from downtown,303006,Paula,,78703,30.297166045674956,-97.7710200559046,Entire home/apt,249,3,0,,,1,365
68130,Hyde Park Flat - Bamboo Floors,336916,Drew,,78751,30.31170901880081,-97.72455294222065,Entire home/apt,89,2,400,2019-01-23,4.08,1,97
